id,genre
2767052,Adventure
2767052,Romance
2767052,Teen
2767052,Dystopia
2767052,Fantasy
2767052,Apocalyptic
2767052,Fiction
2767052,Science Fiction
2767052,Young Adult
2767052,Post Apocalyptic
2767052,Action
2,Adventure
2,Fantasy
2,Magic
2,Classics
2,Audiobook
2,Fiction
2,Middle Grade
2,Young Adult
2,Childrens
2,Science Fiction Fantasy
2657,Read For School
2657,Historical Fiction
2657,Classics
2657,Academic
2657,Historical
2657,Fiction
2657,Literature
2657,Novels
2657,High School
2657,Young Adult
2657,School
1885,Romance
1885,Historical Fiction
1885,Classics
1885,Adult
1885,Historical
1885,Fiction
1885,Literature
1885,Novels
1885,Historical Romance
1885,Classic Literature
41865,Teen
41865,Romance
41865,Vampires
41865,Fantasy
41865,Paranormal
41865,Supernatural
41865,Fiction
41865,Paranormal Romance
41865,Urban Fantasy
41865,Young Adult
19063,Holocaust
19063,Historical Fiction
19063,Classics
19063,Audiobook
19063,Fiction
19063,Historical
19063,World War II
19063,Books About Books
19063,Writing
19063,Young Adult
19063,War
170448,Dystopia
170448,Fantasy
170448,Read For School
170448,Politics
170448,Classics
170448,Fiction
170448,Academic
170448,Science Fiction
170448,Literature
170448,Novels
170448,School
11127,Adventure
11127,Fantasy
11127,Christian
11127,Classics
11127,Middle Grade
11127,Fiction
11127,Christian Fiction
11127,Young Adult
11127,Childrens
11127,Science Fiction Fantasy
30,Adventure
30,Fantasy
30,Magic
30,Classics
30,Epic Fantasy
30,Fiction
30,High Fantasy
30,Literature
30,Young Adult
30,Science Fiction Fantasy
11870085,Teen
11870085,Romance
11870085,Realistic Fiction
11870085,Coming Of Age
11870085,Drama
11870085,Fiction
11870085,Novels
11870085,Love
11870085,Young Adult
11870085,Contemporary
18405,Romance
18405,Civil War
18405,Historical Fiction
18405,Classics
18405,Fiction
18405,Historical
18405,Literature
18405,Military History
18405,Historical Romance
18405,Novels
18405,War
386162,Adventure
386162,Fantasy
386162,Classics
386162,Audiobook
386162,Fiction
386162,Science Fiction
386162,Novels
386162,Comedy
386162,Humor
386162,Science Fiction Fantasy
370493,Poetry
370493,Short Stories
370493,Juvenile
370493,Fantasy
370493,Classics
370493,Kids
370493,Fiction
370493,Young Adult
370493,Picture Books
370493,Childrens
6185,Romance
6185,Historical Fiction
6185,Classics
6185,Fiction
6185,Historical
6185,Literature
6185,Novels
6185,Classic Literature
6185,Gothic
6185,19th Century
968,Thriller
968,Adventure
968,Suspense
968,Mystery Thriller
968,Historical Fiction
968,Adult
968,Fiction
968,Historical
968,Novels
968,Mystery
968,Crime
929,Romance
929,Asia
929,Historical Fiction
929,Classics
929,Cultural
929,Adult
929,Historical
929,Fiction
929,Novels
929,Adult Fiction
929,Japan
5297,Fantasy
5297,Classics
5297,Horror
5297,Fiction
5297,Literature
5297,Novels
5297,Classic Literature
5297,Gothic
5297,LGBT
5297,19th Century
24213,Adventure
24213,Fantasy
24213,Classics
24213,Middle Grade
24213,Fiction
24213,Literature
24213,Novels
24213,Young Adult
24213,19th Century
24213,Childrens
10210,Romance
10210,Historical Fiction
10210,Classics
10210,School
10210,Historical
10210,Fiction
10210,Academic
10210,Literature
10210,Classic Literature
10210,Gothic
10210,19th Century
24280,Romance
24280,Historical Fiction
24280,Classics
24280,Cultural
24280,European Literature
24280,Historical
24280,Fiction
24280,Literature
24280,Novels
24280,Classic Literature
24280,French Literature
24280,France
13079982,Dystopia
13079982,Fantasy
13079982,Classics
13079982,Adult
13079982,Academic
13079982,Fiction
13079982,Science Fiction
13079982,Literature
13079982,Novels
13079982,School
13079982,Science Fiction Fantasy
13335037,Adventure
13335037,Romance
13335037,Teen
13335037,Dystopia
13335037,Fantasy
13335037,Apocalyptic
13335037,Fiction
13335037,Science Fiction
13335037,Young Adult
13335037,Post Apocalyptic
13335037,Action
7624,Adventure
7624,Dystopia
7624,Read For School
7624,Classics
7624,Academic
7624,Fiction
7624,Literature
7624,Science Fiction
7624,Novels
7624,Young Adult
7624,High School
7624,School
18135,Plays
18135,Romance
18135,Drama
18135,Poetry
18135,Read For School
18135,Classics
18135,Academic
18135,Fiction
18135,Literature
18135,High School
18135,Young Adult
18135,School
18144590,Adventure
18144590,Fantasy
18144590,Classics
18144590,Fiction
18144590,Novels
18144590,Literature
18144590,Self Help
18144590,Spirituality
18144590,Inspirational
18144590,Philosophy
7144,Russian Literature
7144,Cultural
7144,Classics
7144,School
7144,Fiction
7144,Russia
7144,Academic
7144,Literature
7144,Novels
7144,Mystery
7144,Crime
7144,Philosophy
7144,19th Century
22628,Health
22628,Romance
22628,Realistic Fiction
22628,Coming Of Age
22628,Teen
22628,Classics
22628,Fiction
22628,Young Adult
22628,Mental Health
22628,LGBT
22628,Contemporary
4671,Romance
4671,American
4671,Read For School
4671,Historical Fiction
4671,Classics
4671,Historical
4671,Academic
4671,Fiction
4671,Literature
4671,Novels
4671,High School
4671,Young Adult
4671,School
256683,Romance
256683,Vampires
256683,Fantasy
256683,Paranormal
256683,Magic
256683,Supernatural
